ô	è	ñ		6000
100	99	1		
100	97	1		
100	96	2		
100	95	3		
100	92	1		
100	91	2		
100	90	3		
100	87	1		
100	86	2		
100	84	1		
100	83	2		
100	82	3		
100	81	4		
100	79	1		
100	78	2		
100	77	3		
100	76	4		
100	73	1		
100	71	1		
100	70	2		
100	69	3		
100	66	1		
100	65	2		
100	63	1		
100	61	1		
100	60	2		
100	59	3		
100	58	4		
100	57	5		
100	56	6		
100	53	1		
100	52	2		
100	50	1		
100	47	1		
100	44	1		
100	43	2		
100	42	3		
100	41	4		
100	40	5		
100	39	6		
100	38	7		
100	36	1		
100	33	1		
100	31	1		
100	29	1		
100	27	1		
100	26	2		
100	24	1		
100	22	1		
100	19	1		
100	18	2		
100	17	3		
100	16	4		
100	15	5		
100	13	1		
100	12	2		
100	10	1		
100	9	2		
100	7	1		
100	6	2		
100	5	3		
100	3	1		
100	1	1		
99	96	1		
99	94	1		
99	92	1		
99	87	1		
99	86	2		
99	84	1		
99	83	2		
99	82	3		
99	81	4		
99	80	5		
99	79	6		
99	77	1		
99	76	2		
99	74	1		
99	73	2		
99	72	3		
99	71	4		
99	69	1		
99	67	1		
99	66	2		
99	65	3		
99	64	4		
99	63	5		
99	62	6		
99	61	7		
99	60	8		
99	59	9		
99	58	10		
99	57	11		
99	56	12		
99	54	1		
99	50	1		
99	49	2		
99	48	3		
99	47	4		
99	46	5		
99	45	6		
99	43	1		
99	40	1		
99	38	1		
99	36	1		
99	35	2		
99	33	1		
99	32	2		
99	30	1		
99	29	2		
99	26	1		
99	24	1		
99	23	2		
99	22	3		
99	21	4		
99	19	1		
99	18	2		
99	17	3		
99	16	4		
99	15	5		
99	14	6		
99	13	7		
99	12	8		
99	11	9		
99	10	10		
99	9	11		
99	8	12		
99	7	13		
99	6	14		
99	4	1		
99	3	2		
99	1	1		
98	99	1		
98	98	2		
98	91	1		
98	90	2		
98	89	3		
98	88	4		
98	87	5		
98	86	6		
98	84	1		
98	81	1		
98	80	2		
98	76	1		
98	75	2		
98	74	3		
98	73	4		
98	72	5		
98	71	6		
98	70	7		
98	65	1		
98	63	1		
98	62	2		
98	61	3		
98	59	1		
98	56	1		
98	51	1		
98	48	1		
98	47	2		
98	46	3		
98	45	4		
98	44	5		
98	43	6		
98	42	7		
98	41	8		
98	40	9		
98	39	10		
98	38	11		
98	37	12		
98	36	13		
98	34	1		
98	33	2		
98	31	1		
98	30	2		
98	29	3		
98	27	1		
98	24	1		
98	23	2		
98	22	3		
98	18	1		
98	17	2		
98	16	3		
98	14	1		
98	13	2		
98	12	3		
98	10	1		
98	6	1		
98	5	2		
98	2	1		
97	99	1		
97	98	2		
97	97	3		
97	96	4		
97	95	5		
97	93	1		
97	92	2		
97	91	3		
97	89	1		
97	88	2		
97	87	3		
97	86	4		
97	85	5		
97	82	1		
97	81	2		
97	80	3		
97	79	4		
97	77	1		
97	76	2		
97	75	3		
97	74	4		
97	73	5		
97	72	6		
97	68	1		
97	65	1		
97	64	2		
97	61	1		
97	60	2		
97	59	3		
97	57	1		
97	56	2		
97	55	3		
97	54	4		
97	53	5		
97	51	1		
97	48	1		
97	46	1		
97	45	2		
97	43	1		
97	42	2		
97	41	3		
97	40	4		
97	37	1		
97	36	2		
97	35	3		
97	32	1		
97	29	1		
97	26	1		
97	25	2		
97	18	1		
97	15	1		
97	13	1		
97	11	1		
97	7	1		
97	6	2		
97	5	3		
97	4	4		
97	3	5		
97	2	6		
97	1	7		
96	99	1		
96	98	2		
96	96	1		
96	94	1		
96	92	1		
96	91	2		
96	90	3		
96	89	4		
96	88	5		
96	85	1		
96	84	2		
96	83	3		
96	82	4		
96	79	1		
96	77	1		
96	75	1		
96	73	1		
96	72	2		
96	69	1		
96	66	1		
96	63	1		
96	62	2		
96	61	3		
96	60	4		
96	58	1		
96	56	1		
96	54	1		
96	49	1		
96	47	1		
96	44	1		
96	43	2		
96	40	1		
96	36	1		
96	35	2		
96	32	1		
96	31	2		
96	30	3		
96	28	1		
96	26	1		
96	24	1		
96	23	2		
96	22	3		
96	19	1		
96	17	1		
96	16	2		
96	15	3		
96	14	4		
96	13	5		
96	11	1		
96	10	2		
96	8	1		
96	7	2		
96	5	1		
96	3	1		
96	2	2		
96	1	3		
95	98	1		
95	97	2		
95	94	1		
95	93	2		
95	92	3		
95	91	4		
95	87	1		
95	84	1		
95	83	2		
95	82	3		
95	80	1		
95	79	2		
95	77	1		
95	75	1		
95	74	2		
95	70	1		
95	69	2		
95	68	3		
95	67	4		
95	66	5		
95	65	6		
95	63	1		
95	62	2		
