ô	è									500
10166618	34	34	0							
10166618	41	75	0							
10166618	48	123	0							
10166618	52	175	0							
10166618	54	229	0							
10166618	58	287	0							
10166618	63	350	0							
10166618	67	417	0							
10166618	75	492	0							
10166618	77	1000077	1							
10166618	78	1000078	1							
10166618	89	1000089	1							
10166618	99	1000099	1							
10166618	108	1000108	1							
11606873	34	34	0							
11606873	36	70	0							
11606873	36	106	0							
11606873	38	144	0							
11606873	42	186	0							
11606873	48	234	0							
12824309	35	35	0							
12824309	36	71	0							
12824309	41	112	0							
12824309	48	160	0							
12824309	49	209	0							
13695027	36	36	0							
13695027	42	78	0							
13695027	53	131	0							
13695027	55	186	0							
13695027	67	253	0							
13695027	72	325	0							
13695027	78	403	0							
13695027	86	489	0							
13695027	98	1000098	1							
13695027	98	1000098	1							
13695027	104	1000104	1							
13695027	115	1000115	1							
13695027	117	1000117	1							
13695027	117	1000117	1							
13695027	128	1000128	1							
13695027	138	1000138	1							
13695027	142	1000142	1							
14252631	31	31	0							
14252631	33	64	0							
14252631	40	104	0							
14252631	47	151	0							
14252631	49	200	0							
14252631	60	260	0							
14252631	71	331	0							
14252631	79	410	0							
14252631	84	494	0							
14252631	91	1000091	1							
14252631	93	1000093	1							
14252631	94	1000094	1							
14981976	26	26	0							
14981976	33	59	0							
14981976	40	99	0							
14981976	45	144	0							
14981976	51	195	0							
14981976	56	251	0							
14981976	61	312	0							
14981976	71	383	0							
14981976	75	458	0							
14981976	80	1000080	1							
14981976	81	1000081	1							
14981976	85	1000085	1							
14981976	88	1000088	1							
14981976	99	1000099	1							
14981976	104	1000104	1							
14981976	112	1000112	1							
14981976	122	1000122	1							
15230058	36	36	0							
15230058	46	82	0							
15230058	49	131	0							
15230058	52	183	0							
15230058	61	244	0							
15230058	68	312	0							
15230058	79	391	0							
15230058	80	471	0							
15230058	92	1000092	1							
15230058	97	1000097	1							
15230058	109	1000109	1							
15230058	120	1000120	1							
15230058	130	1000130	1							
15230058	133	1000133	1							
15230058	137	1000137	1							
15230058	145	1000145	1							
15230058	151	1000151	1							
15230058	152	1000152	1							
15230058	155	1000155	1							
15230058	163	1000163	1							
15230058	167	1000167	1							
15230058	174	1000174	1							
15230058	176	1000176	1							
15230058	182	1000182	1							
15230058	188	1000188	1							
15230058	195	1000195	1							
15230058	199	1000199	1							
15230058	211	1000211	1							
15230058	223	1000223	1							
15230058	234	1000234	1							
15230058	243	1000243	1							
16337423	30	30	0							
16337423	42	72	0							
16337423	43	115	0							
16337423	52	167	0							
16337423	57	224	0							
17408939	30	30	0							
17408939	40	70	0							
17408939	44	114	0							
17408939	45	159	0							
17408939	55	214	0							
17408939	55	269	0							
17408939	56	325	0							
17408939	65	390	0							
17408939	69	459	0							
17408939	77	1000077	1							
17408939	84	1000084	1							
17408939	89	1000089	1							
19540689	33	33	0							
19540689	43	76	0							
19540689	55	131	0							
19540689	64	195	0							
19540689	64	259	0							
19540689	69	328	0							
19540689	77	405	0							
19540689	78	483	0							
19540689	84	1000084	1							
19540689	93	1000093	1							
19540689	104	1000104	1							
19540689	109	1000109	1							
19540689	117	1000117	1							
19540689	125	1000125	1							
19540689	133	1000133	1							
20357889	36	36	0							
20357889	46	82	0							
20357889	58	140	0							
20357889	61	201	0							
20357889	64	265	0							
21611341	28	28	0							
21611341	37	65	0							
21611341	41	106	0							
21611341	45	151	0							
21611341	47	198	0							
21611341	53	251	0							
21611341	56	307	0							
21611341	57	364	0							
21611341	64	428	0							
21611341	69	497	0							
23256567	29	29	0							
23256567	37	66	0							
23256567	42	108	0							
23256567	44	152	0							
23256567	45	197	0							
23256567	48	245	0							
23256567	58	303	0							
23256567	62	365	0							
23256567	67	432	0							
23256567	72	1000072	1							
23256567	74	1000074	1							
23256567	77	1000077	1							
23256567	88	1000088	1							
23639756	27	27	0							
23639756	39	66	0							
23639756	43	109	0							
23639756	48	157	0							
23639756	53	210	0							
23639756	62	272	0							
23639756	67	339	0							
23639756	76	415	0							
23639756	87	1000087	1							
23639756	94	1000094	1							
23639756	100	1000100	1							
23639756	106	1000106	1							
23639756	109	1000109	1							
23639756	120	1000120	1							
23639756	125	1000125	1							
25629561	35	35	0							
25629561	44	79	0							
25629561	44	123	0							
25629561	51	174	0							
25629561	58	232	0							
25629561	62	294	0							
25629561	62	356	0							
25629561	70	426	0							
25629561	80	1000080	1							
25629561	83	1000083	1							
25629561	92	1000092	1							
25629561	99	1000099	1							
25629561	109	1000109	1							
25629561	121	1000121	1							
25629561	127	1000127	1							
25629561	132	1000132	1							
25629561	135	1000135	1							
25629561	138	1000138	1							
25629561	141	1000141	1							
25629561	147	1000147	1							
28057374	34	34	0							
28057374	35	69	0							
28057374	37	106	0							
28057374	44	150	0							
28057374	52	202	0							
28057374	53	255	0							
28057374	55	310	0							
28057374	65	375	0							
28057374	72	447	0							
28057374	81	1000081	1							
28057374	82	1000082	1							
31815922	28	28	0							
31815922	30	58	0							
31815922	35	93	0							
31815922	46	139	0							
31815922	50	189	0							
31815922	59	248	0							
31815922	71	319	0							
31815922	75	394	0							
31815922	79	473	0							
31815922	84	1000084	1							
31815922	88	1000088	1							
31815922	92	1000092	1							
31815922	103	1000103	1							
31815922	109	1000109	1							
31815922	117	1000117	1							
31815922	121	1000121	1							
31815922	127	1000127	1							
31815922	139	1000139	1							
31961290	31	31	0							
31961290	41	72	0							
31961290	50	122	0							
31961290	61	183	0							
31961290	65	248	0							
31961290	73	321	0							
31961290	85	406	0							
31961290	95	1000095	1							
31961290	102	1000102	1							
31961290	104	1000104	1							
31961290	104	1000104	1							
31961290	105	1000105	1							
31961290	108	1000108	1							
