kg	p	p/kg						100
100	800	8						
94	752	8						
94	752	8						
93	744	8						
93	744	8						
92	736	8						
91	728	8						
89	712	8						
88	704	8						
86	688	8						
86	688	8						
81	648	8						
78	624	8						
77	616	8						
76	608	8						
73	584	8						
72	576	8						
69	552	8						
68	544	8						
68	544	8						
67	536	8						
67	536	8						
67	536	8						
67	536	8						
66	528	8						
65	520	8						
64	512	8						
64	512	8						
63	504	8						
59	472	8						
57	456	8						
57	456	8						
56	448	8						
55	440	8						
55	440	8						
50	400	8						
48	384	8						
46	368	8						
45	360	8						
43	344	8						
43	344	8						
42	336	8						
41	328	8						
41	328	8						
40	320	8						
40	320	8						
40	320	8						
39	312	8						
33	264	8						
33	264	8						
31	248	8						
29	232	8						
28	224	8						
27	216	8						
27	216	8						
26	208	8						
26	208	8						
22	176	8						
21	168	8						
21	168	8						
17	136	8						
17	136	8						
16	128	8						
15	120	8						
15	120	8						
12	96	8						
11	88	8						
11	88	8						
98	882	9						
98	882	9						
95	855	9						
93	837	9						
88	792	9						
87	783	9						
86	774	9						
84	756	9						
83	747	9						
82	738	9						
81	729	9						
80	720	9						
79	711	9						
77	693	9						
76	684	9						
75	675	9						
73	657	9						
71	639	9						
69	621	9						
68	612	9						
68	612	9						
66	594	9						
62	558	9						
59	531	9						
58	522	9						
58	522	9						
57	513	9						
57	513	9						
56	504	9						
53	477	9						
52	468	9						
49	441	9						
48	432	9						
48	432	9						
48	432	9						
47	423	9						
46	414	9						
42	378	9						
41	369	9						
41	369	9						
32	288	9						
29	261	9						
28	252	9						
25	225	9						
23	207	9						
22	198	9						
19	171	9						
19	171	9						
17	153	9						
16	144	9						
16	144	9						
12	108	9						
10	90	9						
100	1000	10						
100	1000	10						
98	980	10						
97	970	10						
96	960	10						
96	960	10						
89	890	10						
87	870	10						
87	870	10						
86	860	10						
86	860	10						
85	850	10						
83	830	10						
82	820	10						
82	820	10						
79	790	10						
73	730	10						
73	730	10						
72	720	10						
68	680	10						
68	680	10						
67	670	10						
66	660	10						
63	630	10						
61	610	10						
56	560	10						
56	560	10						
52	520	10						
52	520	10						
52	520	10						
51	510	10						
51	510	10						
50	500	10						
49	490	10						
49	490	10						
47	470	10						
47	470	10						
46	460	10						
44	440	10						
44	440	10						
43	430	10						
43	430	10						
42	420	10						
39	390	10						
34	340	10						
31	310	10						
29	290	10						
29	290	10						
26	260	10						
23	230	10						
21	210	10						
20	200	10						
20	200	10						
20	200	10						
19	190	10						
18	180	10						
18	180	10						
17	170	10						
16	160	10						
16	160	10						
15	150	10						
14	140	10						
13	130	10						
13	130	10						
11	110	10						
10	100	10						
10	100	10						
100	1100	11						
99	1089	11						
99	1089	11						
99	1089	11						
98	1078	11						
97	1067	11						
96	1056	11						
95	1045	11						
94	1034	11						
92	1012	11						
91	1001	11						
89	979	11						
89	979	11						
87	957	11						
86	946	11						
86	946	11						
83	913	11						
81	891	11						
80	880	11						
75	825	11						
75	825	11						
75	825	11						
73	803	11						
72	792	11						
69	759	11						
67	737	11						
66	726	11						
61	671	11						
60	660	11						
60	660	11						
59	649	11						
58	638	11						
56	616	11						
55	605	11						
52	572	11						
51	561	11						
51	561	11						
50	550	11						
50	550	11						
49	539	11						
43	473	11						
43	473	11						
42	462	11						
42	462	11						
42	462	11						
41	451	11						
38	418	11						
36	396	11						
32	352	11						
31	341	11						
29	319	11						
27	297	11						
27	297	11						
25	275	11						
24	264	11						
23	253	11						
23	253	11						
20	220	11						
18	198	11						
18	198	11						
17	187	11						
16	176	11						
14	154	11						
13	143	11						
10	110	11						
100	1200	12						
97	1164	12						
93	1116	12						
92	1104	12						
89	1068	12						
89	1068	12						
86	1032	12						
84	1008	12						
78	936	12						
78	936	12						
77	924	12						
76	912	12						
74	888	12						
71	852	12						
70	840	12						
69	828	12						
67	804	12						
66	792	12						
65	780	12						
65	780	12						
65	780	12						
61	732	12						
61	732	12						
60	720	12						
60	720	12						
59	708	12						
58	696	12						
58	696	12						
55	660	12						
52	624	12						
49	588	12						
48	576	12						
46	552	12						
44	528	12						
44	528	12						
