						10000	100000
1000	C	1000	0				
1000	C	2000	0				
1000	E	3000	0				
1001	E	4000	0				
1001	C	5001	0				
1002	D	6002	0				
1003	A	7004	1				
1003	E	8007	0				
1004	D	9010	0				
1007	E	10014	0				
1008	A	11021	1				
1008	B	12029	0				
1009	E	13037	0				
1010	B	14046	0				
1010	D	15056	0				
1011	A	16066	1				
1011	D	17077	0				
1013	C	18088	0				
1014	C	19101	0				
1015	A	20115	1				
1018	A	21130	1				
1020	B	22148	0				
1022	B	23168	0				
1022	C	24190	0				
1023	D	25212	0				
1023	A	26235	1				
1023	B	27258	0				
1024	B	28281	0				
1025	D	29305	0				
1026	D	30330	0				
1027	D	31356	0				
1028	A	32383	1				
1029	C	33411	0				
1029	D	34440	0				
1035	E	35469	0				
1036	D	36504	0				
1036	C	37540	0				
1037	E	38576	0				
1037	E	39613	0				
1037	A	40650	1				
1038	D	41687	0				
1038	C	42725	0				
1039	C	43763	0				
1040	A	44802	1				
1043	B	45842	0				
1043	E	46885	0				
1044	B	47928	0				
1044	C	48972	0				
1045	E	50016	0				
1045	B	51061	0				
1045	A	52106	1				
1046	E	53151	0				
1047	C	54197	0				
1048	B	55244	0				
1049	D	56292	0				
1050	E	57341	0				
1052	A	58391	1				
1052	C	59443	0				
1052	B	60495	0				
1052	C	61547	0				
1052	A	62599	1				
1055	C	63651	0				
1056	A	64706	1				
1058	E	65762	0				
1060	D	66820	0				
1061	D	67880	0				
1062	D	68941	0				
1064	E	70003	0				
1065	B	71067	0				
1066	B	72132	0				
1067	C	73198	0				
1068	C	74265	0				
1069	A	75333	1				
1071	E	76402	0				
1071	E	77473	0				
1072	C	78544	0				
1073	C	79616	0				
1073	E	80689	0				
1075	A	81762	1				
1076	B	82837	0				
1077	D	83913	0				
1078	D	84990	0				
1079	B	86068	0				
1079	E	87147	0				
1079	B	88226	0				
1080	E	89305	0				
1081	E	90385	0				
1082	B	91466	0				
1084	B	92548	0				
1086	C	93632	0				
1087	E	94718	0				
1087	B	95805	0				
1088	A	96892	1				
1089	A	97980	1				
1088	A	99069	1	931			
1088	B	100157	0				
1089	B	101245	0				
1090	B	102334	0				
1091	D	103424	0				
1092	E	104515	0				
1092	D	105607	0				
1094	B	106699	0				
1094	A	107793	1				
1095	B	108887	0				
1096	B	109982	0				
1098	A	111078	1				
1098	B	112176	0				
1099	C	113274	0				
1100	B	114373	0				
1101	C	115473	0				
1101	D	116574	0				
1103	B	117675	0				
1103	B	118778	0				
1103	D	119881	0				
1104	E	120984	0				
1105	C	122088	0				
1105	E	123193	0				
1106	B	124298	0				
1106	D	125404	0				
1107	A	126510	1				
