a	b	c				
25081	73	0				10000
25081	75	0				
25081	79	0				
25081	81	0				
25081	85	0				
25081	89	0				
25081	91	0				
25081	93	0				
25081	97	0				
25081	99	0				
25081	103	0				
25081	107	0				
25081	111	0				
25081	113	0				
25081	115	0				
25081	119	0				
25081	123	0				
25081	125	0				
25081	127	0				
25081	131	0				
25081	135	0				
25081	139	0				
25081	143	0				
25081	145	0				
25081	149	0				
25081	151	0				
25081	155	0				
25081	157	0				
25081	159	0				
25081	161	0				
25081	165	0				
25081	169	0				
25081	173	0				
25081	177	0				
25081	179	0				
25081	181	0				
25081	183	0				
25081	187	0				
25081	191	0				
25081	195	0				
25081	199	0				
25081	203	0				
25081	205	0				
25081	209	0				
25081	213	0				
25081	215	0				
25081	217	0				
25081	221	0				
25081	223	0				
25081	227	0				
25081	231	0				
25081	235	0				
25081	237	0				
25081	241	0				
25081	243	0				
25081	245	0				
25081	247	0				
25081	251	0				
25081	253	0				
25081	257	0				
25081	261	0				
25081	263	0				
25081	267	0				
25081	271	0				
25081	273	0				
25081	277	0				
25081	279	0				
25081	281	0				
25081	283	0				
25081	285	0				
25081	287	0				
25081	291	0				
25081	295	0				
25081	299	0				
25081	303	0				
25081	307	0				
25081	311	0				
25081	313	0				
25081	317	0				
25081	319	0				
25081	323	0				
25081	325	0				
25081	329	0				
25081	333	0				
25081	335	0				
25081	339	0				
25081	343	0				
25081	347	0				
25081	349	0				
25081	353	0				
25081	357	0				
25081	361	0				
25081	363	0				
24952	85	0				
24952	87	0				
24952	89	0				
24952	91	0				
24952	95	0				
24952	97	0				
24952	99	0				
24952	101	0				
24952	105	0				
24952	107	0				
24952	109	0				
24952	111	0				
24952	115	0				
24952	119	0				
24952	121	0				
24952	123	0				
24952	125	0				
24952	127	0				
24952	131	0				
24952	135	0				
24952	137	0				
24952	139	0				
24952	143	0				
24952	147	0				
24952	151	0				
24952	155	0				
24952	159	0				
24952	161	0				
24952	163	0				
24952	167	0				
24952	169	0				
24952	173	0				
24952	175	0				
24952	179	0				
24952	183	0				
24952	187	0				
24952	189	0				
24952	193	0				
24952	197	0				
24952	201	0				
24952	205	0				
24952	209	0				
24952	211	0				
24952	213	0				
24952	217	0				
24952	219	0				
24952	223	0				
24952	227	0				
24759	40	0				
24759	44	0				
24759	46	0				
24759	48	0				
24759	52	0				
24759	54	0				
24759	56	0				
24759	60	0				
24759	64	0				
24759	66	0				
24759	68	0				
24759	72	0				
24759	74	0				
24759	82	0				
24759	86	0				
24759	90	0				
24759	92	0				
24759	96	0				
24759	100	0				
24759	104	0				
24759	106	0				
24759	110	0				
24759	112	0				
24759	114	0				
24759	118	0				
24759	122	0				
24759	126	0				
24759	130	0				
24759	134	0				
24759	138	0				
24568	47	0				
24568	51	0				
24568	53	0				
24568	57	0				
24568	61	0				
24568	65	0				
24568	69	0				
24568	71	0				
24568	75	0				
24568	79	0				
24568	81	0				
24568	85	0				
24568	87	0				
24568	89	0				
24568	93	0				
24568	95	0				
24568	97	0				
24568	99	0				
24568	101	0				
24568	103	0				
24568	105	0				
24568	107	0				
24568	109	0				
24568	113	0				
24568	115	0				
24568	119	0				
24568	123	0				
24568	127	0				
24568	131	0				
24568	133	0				
24568	135	0				
24568	137	0				
24568	141	0				
24568	145	0				
24568	149	0				
24568	153	0				
24568	157	0				
24568	161	0				
24568	163	0				
24568	167	0				
24568	171	0				
24568	173	0				
24568	175	0				
24568	177	0				
24568	181	0				
24568	185	0				
24568	189	0				
24568	191	0				
24568	195	0				
24568	199	0				
24568	203	0				
24568	205	0				
24568	209	0				
24568	213	0				
24568	217	0				
24568	219	0				
24568	223	0				
24568	227	0				
24568	231	0				
24568	235	0				
24568	239	0				
24568	243	0				
24568	245	0				
24568	247	0				
24568	249	0				
24568	251	0				
24568	253	0				
24568	257	0				
24568	259	0				
24568	261	0				
24568	263	0				
24568	265	0				
24568	269	0				
24568	273	0				
24568	275	0				
24568	279	0				
24568	281	0				
24568	283	0				
24568	287	0				
24568	289	0				
24568	293	0				
24568	295	0				
24568	297	0				
24568	301	0				
24568	303	0				
24568	307	0				
24568	311	0				
24568	315	0				
24568	319	0				
24568	321	0				
24568	323	0				
24455	29	0				
24455	31	0				
24455	33	0				
24455	37	0				
24455	39	0				
24455	41	0				
24455	43	0				
24455	47	0				
24455	49	0				
24455	51	0				
24455	53	0				
24455	57	0				
24455	59	0				
24455	63	0				
24455	67	0				
24455	71	0				
24455	73	0				
24455	77	0				
24455	81	0				
24455	83	0				
24455	87	0				
24455	89	0				
24455	93	0				
24455	97	0				
24455	101	0				
24455	103	0				
24455	105	0				
24455	107	0				
24455	109	0				
24455	113	0				
24455	117	0				
24455	119	0				
24455	121	0				
24455	123	0				
24455	127	0				
24455	129	0				
24455	131	0				
24455	133	0				
24455	135	0				
24455	139	0				
24455	143	0				
24455	145	0				
24455	149	0				
24455	151	0				
24455	155	0				
24455	159	0				
24455	161	0				
24455	165	0				
24455	169	0				
24455	171	0				
24455	175	0				
24455	179	0				
24455	181	0				
24455	185	0				
24455	187	0				
24455	189	0				
24455	191	0				
24455	195	0				
24455	199	0				
24455	201	0				
24455	203	0				
24455	207	0				
24455	209	0				
24455	213	0				
24455	215	0				
24455	217	0				
24455	221	0				
24455	225	0				
24455	229	0				
24455	233	0				
24455	237	0				
24455	239	0				
24455	243	0				
24455	247	0				
24455	251	0				
24455	255	0				
24455	257	0				
24455	259	0				
24455	261	0				
24455	263	0				
24455	267	0				
24455	271	0				
24455	273	0				
24455	277	0				
24455	279	0				
24455	281	0				
24455	283	0				
24455	287	0				
24455	289	0				
24455	291	0				
24455	293	0				
24455	297	0				
24455	299	0				
24455	303	0				
24455	307	0				
24455	309	0				
24455	311	0				
24266	59	0				
24266	61	0				
24266	63	0				
24266	65	0				
24266	67	0				
24266	71	0				
24266	73	0				
24266	77	0				
24266	79	0				
24266	83	0				
24266	87	0				
24266	89	0				
24266	93	0				
24266	97	0				
24266	99	0				
24266	101	0				
24266	105	0				
24266	109	0				
24266	113	0				
24266	115	0				
24266	119	0				
24266	121	0				
24266	125	0				
24266	129	0				
24266	131	0				
24266	135	0				
24266	137	0				
24266	139	0				
24266	141	0				
24266	143	0				
24266	147	0				
24266	149	0				
24088	62	0				
24088	66	0				
24088	68	0				
24088	70	0				
24088	72	0				
24088	74	0				
24088	76	0				
24088	78	0				
24088	80	0				
24088	82	0				
24088	84	0				
24088	88	0				
24088	92	0				
24088	94	0				
24088	98	0				
24088	102	0				
24088	106	0				
24088	110	0				
24088	114	0				
24088	118	0				
24088	120	0				
24088	122	0				
24088	124	0				
24088	128	0				
24088	130	0				
24088	134	0				
24088	136	0				
24088	138	0				
24088	140	0				
24088	144	0				
24088	148	0				
24088	152	0				
24088	154	0				
24088	158	0				
24088	160	0				
24088	162	0				
24088	166	0				
24088	168	0				
24088	172	0				
24088	174	0				
24088	176	0				
24088	180	0				
24088	182	0				
24088	186	0				
24088	190	0				
24088	194	0				
24088	198	0				
24088	200	0				
24088	202	0				
24088	206	0				
24088	208	0				
24088	212	0				
24088	216	0				
24088	218	0				
24088	220	0				
24088	224	0				
24088	228	0				
24088	230	0				
24088	232	0				
24088	234	0				
24088	238	0				
24088	242	0				
24088	246	0				
24088	248	0				
24088	250	0				
24088	252	0				
24088	254	0				
24088	258	0				
